# BUSCO version is: 5.1.3 
# The lineage dataset is: nematoda_odb10 (Creation date: 2020-08-05, number of genomes: 7, number of BUSCOs: 3131)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at6231	Complete	IV	11973653	12010879	-	10425.6	5906
4at6231	Complete	I	4386789	4401751	+	7617.8	3928	https://www.orthodb.org/v10?query=4at6231	Dynein heavy chain, cytoplasmic
6at6231	Complete	V	2782841	2807859	-	6008.6	3832
7at6231	Complete	III	10160696	10183256	+	5091.0	3033
9at6231	Complete	III	4520458	4536657	+	4848.3	3533
18at6231	Complete	I	8905868	8916803	-	3971.1	2577	https://www.orthodb.org/v10?query=18at6231	Vacuolar protein sorting-associated protein 13
19at6231	Complete	V	15498742	15511228	+	3940.3	2360	https://www.orthodb.org/v10?query=19at6231	putative scavenger receptor cysteine-rich domain protein
20at6231	Complete	II	11661802	11675855	-	4767.5	3385
21at6231	Complete	V	20879853	20898734	+	4688.1	2588
22at6231	Complete	I	11076374	11134558	-	4209.7	2475
23at6231	Complete	III	2658095	2680719	+	6591.0	3768
25at6231	Complete	X	14611402	14624256	+	3598.9	2279
28at6231	Complete	III	8164376	8172293	+	4759.1	2098
29at6231	Complete	V	13019087	13033145	+	3538.7	2161
31at6231	Complete	V	13689973	13703239	+	4016.3	2684
32at6231	Complete	X	3117946	3127060	-	4156.0	2177
35at6231	Complete	V	6881589	6890333	+	3881.6	1953
39at6231	Complete	X	2303182	2314648	+	3118.7	1810
40at6231	Complete	V	9112789	9122043	+	2599.7	1937
43at6231	Complete	I	8083629	8095113	+	3318.6	1864	https://www.orthodb.org/v10?query=43at6231	CRE-RME-8 protein
45at6231	Complete	III	7480076	7489061	-	2794.0	1760
48at6231	Complete	I	15005702	15013790	-	2435.2	1597
49at6231	Complete	X	11420745	11433449	-	3271.7	1941
55at6231	Complete	III	12251699	12273679	-	2713.5	1638
57at6231	Complete	I	6901551	6913550	-	3314.7	1895
60at6231	Complete	IV	3989131	4013956	+	4779.9	2863
63at6231	Complete	IV	12653488	12674386	+	4184.6	2645
65at6231	Complete	X	7245422	7254562	-	2313.5	1570
67at6231	Complete	X	10084666	10103890	+	3559.4	1868
68at6231	Complete	I	5906876	5917778	+	2394.6	1485	https://www.orthodb.org/v10?query=68at6231	Hypothetical protein CBG04027
72at6231	Complete	III	10203871	10209402	+	3087.5	1485	https://www.orthodb.org/v10?query=72at6231	Clathrin heavy chain
74at6231	Complete	I	13899168	13913850	+	3106.8	1527
76at6231	Complete	I	11747889	11783938	-	2577.5	2570
86at6231	Complete	X	2909555	2917455	+	2859.0	1709	https://www.orthodb.org/v10?query=86at6231	CRE-NMY-1 protein
88at6231	Complete	V	12226970	12234299	-	3174.1	1697
90at6231	Complete	IV	4248187	4255660	+	3141.3	1577
91at6231	Complete	IV	10484188	10492626	+	2147.1	1456
92at6231	Complete	III	5908833	5914480	+	2206.9	1354	https://www.orthodb.org/v10?query=92at6231	DEAD/DEAH box helicase
96at6231	Complete	IV	12096780	12105416	+	2130.8	1377	https://www.orthodb.org/v10?query=96at6231	Monensin-resistant homolog 2
97at6231	Complete	V	8109050	8117837	+	3470.1	1791	https://www.orthodb.org/v10?query=97at6231	CRE-MYO-5 protein
100at6231	Complete	II	8771210	8781429	+	2831.2	2016
101at6231	Complete	X	16541773	16551142	+	2358.2	1487
107at6231	Complete	II	6995933	7010205	+	2483.3	1324
112at6231	Complete	X	17403457	17413848	-	1752.5	1455	https://www.orthodb.org/v10?query=112at6231	CRE-CRB-1 protein
117at6231	Complete	I	3807901	3816795	-	2214.8	1510	https://www.orthodb.org/v10?query=117at6231	putative ATP-dependent Clp protease adaptor protein ClpS
119at6231	Duplicated	I	138043	144561	+	2021.9	1200	https://www.orthodb.org/v10?query=119at6231	Dual oxidase 1
119at6231	Duplicated	I	146625	153556	-	2222.5	1226	https://www.orthodb.org/v10?query=119at6231	Dual oxidase 1
121at6231	Complete	I	14994772	15001449	+	1933.9	1160
125at6231	Complete	V	6258776	6267190	-	2056.6	1248
127at6231	Complete	X	3171803	3178661	-	2154.5	1256
131at6231	Complete	II	11865690	11874692	-	2217.1	1408
132at6231	Complete	III	8072112	8080273	-	2302.9	1519
137at6231	Complete	III	11751630	11773660	-	1989.1	1220
139at6231	Complete	X	7848226	7861230	-	2334.2	1330
144at6231	Complete	IV	9386207	9394529	+	1365.5	1126
146at6231	Complete	II	7013215	7022508	-	1806.4	1163
147at6231	Complete	X	11826092	11835878	+	1649.4	1279
149at6231	Complete	II	5084428	5091635	-	1358.7	840
151at6231	Complete	III	4596445	4612333	-	3654.5	1960
152at6231	Complete	II	9006173	9019766	-	1976.3	1142
161at6231	Complete	II	14350879	14357529	-	1930.1	1147
164at6231	Complete	X	15235124	15246364	-	1977.0	1207	https://www.orthodb.org/v10?query=164at6231	CRE-PIKI-1 protein
165at6231	Complete	X	14711575	14718548	+	1627.2	1021
166at6231	Complete	III	9119558	9125048	+	1906.4	1154
170at6231	Complete	III	8194176	8201104	-	1437.1	938
172at6231	Complete	IV	2009156	2032991	-	1874.4	1178
174at6231	Complete	III	4991564	4998132	-	1565.3	1123
175at6231	Complete	I	7422784	7453725	+	2323.2	1157
181at6231	Complete	II	10813250	10819884	-	1494.2	1030
183at6231	Complete	III	6383551	6388380	+	1375.7	1140
184at6231	Complete	II	6536383	6554667	+	1738.3	1304
185at6231	Complete	III	4264084	4269265	-	2241.8	1134
189at6231	Complete	X	5496835	5505187	-	1690.9	1285	https://www.orthodb.org/v10?query=189at6231	putative myosin head
190at6231	Complete	II	5466473	5473381	+	1689.2	1083	https://www.orthodb.org/v10?query=190at6231	Protein-tyrosine phosphatase
194at6231	Complete	IV	11038885	11047016	+	1599.7	1011
196at6231	Complete	III	8139913	8144612	-	1855.7	1046
197at6231	Complete	II	10222877	10229063	+	1747.1	1012
198at6231	Complete	II	6092882	6097430	-	1578.1	1075
199at6231	Complete	V	9634982	9645453	-	3389.6	2288
201at6231	Complete	II	6760846	6774963	-	1722.0	1255
204at6231	Complete	I	13861475	13887205	+	2151.9	1312
210at6231	Complete	III	13644038	13656333	+	1759.0	1537	https://www.orthodb.org/v10?query=210at6231	Histone-lysine N-methyltransferase
211at6231	Complete	III	9766786	9773632	+	2055.5	1530
