I	1	L	8	-198	5	357	12640
I	1	L	58	-198	18	3402	10948
I	1	L	24	-198	7	2664	8271
I	1	L	27	-198	5	1625	9680
I	240737	L	60	0	142	857	9714
I	240737	L	60	0	110	690	10910
I	240737	L	60	0	183	1150	10004
I	240737	L	60	0	144	890	9574
I	240737	L	60	0	104	699	14559
I	240737	L	60	0	206	1318	11882
I	240737	L	60	0	201	1212	11849
I	240737	L	60	0	115	695	15037
I	240737	L	60	0	96	581	15632
I	240737	L	60	0	175	1080	12727
I	240737	L	60	0	228	1405	11385
I	240737	L	60	0	176	1090	11251
I	240737	L	60	0	178	1103	15232
I	240737	L	60	0	152	928	8485
I	240737	L	60	0	206	1283	12880
I	240737	L	60	0	170	1032	5079
I	240737	L	60	0	150	902	12616
I	240737	L	60	0	119	814	11327
I	240737	L	60	0	142	862	10984
I	240737	L	60	0	165	1027	7720
I	240737	L	60	0	90	555	17385
I	240737	L	60	0	124	754	11994
I	240737	L	60	0	235	1461	18020
I	240737	L	60	0	163	992	9129
I	240737	L	60	0	126	770	9462
I	240737	L	60	0	206	1389	9373
I	240737	L	60	0	102	643	9141
I	240737	L	60	0	161	1012	9500
I	240737	L	60	0	192	1186	10308
I	240737	L	60	0	69	436	18344
I	240737	L	60	0	129	890	14919
I	240737	L	60	0	97	587	9239
I	388528	L	60	-4458	2	11553	23655
I	1333329	L	60	-1377	3	11232	27849
I	1575465	L	60	-2138	2	6980	16611
I	2774707	R	60	2187	2	17950	36279
I	4118066	R	60	-1	132	817	18577
I	4118066	R	60	-1	207	1382	19105
I	4118066	R	60	-1	132	841	18241
I	4118066	R	60	-1	178	1097	17306
I	4118066	R	60	-1	160	989	16194
I	4118066	R	60	-1	259	1675	16742
I	4118067	R	60	3	133	929	15844
I	4118066	R	60	-1	148	954	15517
I	4118053	R	60	4	168	1183	15245
I	4118066	R	60	-1	105	705	14597
I	4118066	R	60	-1	195	1280	15092
I	4118066	R	60	12	133	832	14233
I	4118066	R	60	-1	232	1405	14381
I	4118066	R	60	-1	163	1117	14058
I	4118066	R	60	-1	103	629	13000
I	4118066	R	60	-1	144	896	12936
I	4118066	R	60	-1	175	1077	12668
I	4118061	R	60	-1	169	1073	12469
I	4118066	R	60	-1	102	678	11973
I	4118066	R	60	-1	103	647	11706
I	4118066	R	60	-1	138	855	11670
I	4118066	R	60	-1	68	409	11215
I	4118066	R	60	-1	179	1104	11617
I	4118066	R	60	-1	130	802	11007
I	4118066	R	60	-1	175	1141	10996
I	4118066	R	60	-1	202	1254	10996
I	4118066	R	60	-1	147	926	10597
I	4118066	R	60	-1	219	1386	10987
I	4118066	R	60	-1	173	1172	10813
I	4118066	R	60	-1	174	1062	10516
I	4118066	R	60	-1	116	754	10152
I	4118066	R	60	-1	163	986	10261
I	4118061	R	60	-1	243	1537	10792
I	4118066	R	60	-1	160	998	10112
I	4118066	R	60	-1	163	1017	10028
I	4118066	R	60	-1	179	1085	10015
I	4118066	R	60	-1	137	851	9733
I	4118066	R	60	-1	114	688	9384
I	4118066	R	60	-1	123	756	9423
I	4118066	R	60	-1	177	1081	9430
I	4118066	R	60	-1	120	811	9116
I	4118066	R	60	-1	103	673	8921
I	4118066	R	60	-1	94	580	8662
I	4118066	R	60	-1	203	1259	8709
I	4118066	R	60	-1	175	1066	8182
I	4118066	R	60	-1	92	556	7496
I	4118066	R	60	-1	100	603	7512
I	4118066	R	60	-1	136	881	7527
I	4118066	R	60	-1	159	974	7294
I	4118066	R	60	-1	102	622	6691
I	4118066	R	60	-1	180	1147	7210
I	4118066	R	60	-1	127	771	5651
I	4118067	R	60	3	209	1377	6246
I	4136867	L	60	1	72	436	10812
I	4136867	L	60	1	124	814	9776
I	4136867	L	60	1	173	1148	12654
I	4136867	L	60	1	172	1186	13914
I	4136867	L	60	1	26	160	10852
I	4136867	L	60	1	47	296	10290
I	4136867	L	60	1	133	807	11056
I	4136867	L	60	1	112	717	14201
I	4136867	L	60	1	111	687	8440
I	4136867	L	60	1	112	688	11615
I	4136867	L	60	1	170	1044	10387
I	4136867	L	60	1	112	688	12878
I	4136867	L	60	-4	124	766	10999
I	4136867	L	60	1	235	1434	9377
I	4136867	L	60	1	67	424	10645
I	4136867	L	60	1	201	1236	13910
I	4136867	L	60	1	126	801	14477
