ptg000041l	I	240737	L	60	0	243
ptg000025l	I	4118066	R	60	-1	282
ptg000032l	I	4136867	L	60	1	264
ptg000004l	I	11141772	R	60	-1	250
ptg000014l	II	66942	L	60	1	208
ptg000018l	II	6413004	R	60	0	205
ptg000003l	II	6427035	L	60	1	199
ptg000040l	II	10473507	R	60	-1	254
ptg000038l	II	10664373	R	60	3121	1948
ptg000039l	III	91404	L	60	1	207
ptg000016l	III	4635267	R	60	0	188
ptg000012l	III	4662007	L	60	7	200
ptg000011l	III	10758308	R	60	-1	201
ptg000020l	III	10992004	R	60	1273	1268
ptg000029l	IV	1	L	24	-1167	1843
ptg000033l	IV	233890	L	60	0	243
ptg000002l	IV	5184372	R	60	-1	244
ptg000009l	IV	5184373	L	60	7	207
ptg000001l	IV	12464840	R	60	1223	1702
ptg000007l	V	161662	L	60	1	256
ptg000026l	V	6451708	R	60	0	288
ptg000010l	V	6471566	L	60	1	219
ptg000031l	V	11191265	R	60	0	293
ptg000019l	X	44875	L	60	1	235
ptg000008l	X	3801810	R	60	-1	164
ptg000037l	X	3823170	R	60	0	253
ptg000017l	X	3852350	L	60	1	206
ptg000028l	X	3889445	L	60	7	207
ptg000015l	X	6684099	R	60	-6	307
ptg000006l	X	6684101	L	60	7	239
ptg000034l	X	12455891	L	60	1	1162
ptg000021l	X	12574656	R	60	0	235
ptg000022l	I_unloc_1	152765	R	1	-3	2718
ptg000030l	II_unloc_1	39782	L	1	-26	1703
ptg000005l	III_unloc_1	18846	L	60	-729	2387
ptg000013l	V_unloc_1	112264	R	1	10	4281
